ID,purpose,n_car,n_bicycle,n_motorcycle,avail_car,avail_taxi,avail_bus,avail_rail,avail_cycling,avail_walking,total_car_cost,taxi_cost,day_of_the_week_start,city.leeds,city.westyorkshire,city.elsewhereuk,city.na,female,age,british_origin,o_level,a_level,voc_qual,masters,phd,occ,occ_full_time,nb_hh_employed,mar,hh_size,income_perso,car_distance_km,bus_distance_km,rail_distance_km,taxi_distance_km,cycling_distance_km,walking_distance_km,car_travel_time_min,bus_travel_time_min,rail_travel_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,bus_IVT_time_min,bus_access_egress_time_min,rail_IVT_time_min,rail_access_egress_time_min,choice,bus_transfers,rail_transfers,income_hh,bus_cost_total_per_leg,rail_cost_total_per_leg,Origin_lsoa_code,Origin_lsoa_name,Destination_lsoa_code,Destination_lsoa_name
1,Primary Workplace,1,1,0,1,1,1,1,0,0,3.669,21.893,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,26.595,22.278,22.592,26.595,21.388,17.63,61.0,80.01666667,40.76666667,61.0,66.36666667,221.0666667,61.75,2.55,21.0,15.76666667,3,2.0,1.0,6,2.071232877,4.065478481,,,E01033010,Leeds 111B
1,Home,1,1,0,0,1,0,1,1,0,0.672,6.451,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,5.428,6.196,6.196,5.428,5.437,5.366,10.76666667,18.91666667,18.91666667,10.76666667,23.51666667,67.71666667,5.0,13.91666667,5.0,13.91666667,3,0.0,0.0,6,2.071232877,4.065478481,E01011265,Leeds 009A,,
1,Primary Workplace,1,1,0,1,1,1,1,0,0,6.677,17.132,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.681,19.692,23.318,19.681,21.608,17.377,47.35,82.8,64.06666667,47.35,68.48333333,218.8333333,58.96666667,5.083333333,19.0,22.06666667,3,1.0,1.0,6,0.517808219,2.710318988,,,E01033010,Leeds 111B
1,Errands without Appointment,1,1,0,0,0,1,0,0,1,0.464,3.559,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.861,0.627,0.627,0.861,0.675,0.627,4.216666667,6.833333333,0.0,4.216666667,3.45,8.066666667,1.0,5.833333333,0.0,0.0,6,0.0,0.0,6,0.517808219,0.0,E01033010,Leeds 111B,E01033010,Leeds 111B
1,Home,1,1,0,0,1,0,1,0,0,2.397,15.83,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,20.553,18.396,18.396,20.553,22.37,17.373,30.51666667,20.96666667,20.96666667,30.51666667,71.78333333,219.6166667,11.0,9.966666667,11.0,9.966666667,3,0.0,0.0,6,0.517808219,2.710318988,E01033008,Leeds 111A,,
1,Home,1,1,0,0,1,1,1,1,1,0.301,4.35,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.263,4.133,4.734,2.263,2.281,2.22,5.283333333,27.51666667,16.21666667,5.283333333,11.98333333,29.58333333,16.38333333,11.03333333,3.0,13.2,6,0.0,0.0,6,0.517808219,2.710318988,,,,
1,Dropoff K12,1,1,0,0,0,1,0,1,1,0.219,3.923,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,1.747,1.835,1.623,1.747,1.746,1.623,3.566666667,18.8,0.0,3.566666667,7.366666667,20.48333333,3.0,15.7,0.0,0.0,6,0.0,0.0,6,1.035616438,0.0,,,,
1,Home,1,1,0,0,0,1,0,1,1,0.222,3.942,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,1.721,1.85,1.622,1.721,1.721,1.622,3.866666667,19.73333333,0.0,3.866666667,7.583333333,21.21666667,1.166666667,18.53333333,0.0,0.0,6,0.0,0.0,6,1.035616438,0.0,,,,
1,Family Activity,1,1,0,1,1,1,1,1,0,0.783,7.151,Saturday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,6.192,7.093,10.609,6.192,5.913,5.189,13.96666667,42.75,39.0,13.96666667,19.38333333,63.11666667,18.23333333,17.86666667,9.0,25.0,1,1.0,1.0,6,2.071232877,8.130956963,,,,
1,OtherPurpose,1,1,0,1,1,1,0,1,1,0.338,4.781,Sunday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.577,3.012,2.565,2.577,2.576,2.565,8.0,24.35,0.0,8.0,12.03333333,32.63333333,3.7,20.5,0.0,0.0,1,0.0,0.0,6,2.071232877,0.0,,,,
1,Primary Workplace,1,1,0,1,1,1,1,1,1,0.269,4.521,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.06,2.303,5.034,2.06,1.949,1.949,7.916666667,10.31666667,18.13333333,7.916666667,7.183333333,23.51666667,6.966666667,2.0,3.0,15.11666667,3,0.0,0.0,6,0.414246575,2.710318988,,,,
1,Primary Workplace,1,1,0,0,1,1,1,0,0,9.261,17.341,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,21.056,17.692,18.7,21.056,21.727,17.429,42.86666667,62.45,30.46666667,42.86666667,69.01666667,219.5666667,55.23333333,7.216666667,15.0,15.46666667,3,0.0,0.0,6,0.414246575,2.710318988,,,E01033010,Leeds 111B
1,Grocery,1,1,0,0,1,1,0,0,1,0.589,5.382,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.842,1.026,0.934,2.842,1.221,0.934,12.6,8.816666667,0.0,12.6,4.166666667,11.3,2.0,6.816666667,0.0,0.0,6,0.0,0.0,6,0.414246575,0.0,E01033010,Leeds 111B,E01033010,Leeds 111B
1,Primary Workplace,1,1,0,0,0,1,0,0,1,4.439,3.61,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.831,0.793,0.648,0.831,0.831,0.648,4.85,8.4,0.0,4.85,3.783333333,8.25,1.0,7.166666667,0.0,0.0,6,0.0,0.0,6,0.414246575,0.0,E01033010,Leeds 111B,E01033010,Leeds 111B
1,Home,1,1,0,0,1,1,1,0,0,2.384,17.143,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.751,23.382,23.067,19.751,21.161,17.442,47.13333333,101.6666667,53.35,47.13333333,73.35,224.3,87.0,5.566666667,14.0,22.3,3,1.0,1.0,6,0.414246575,2.710318988,E01033010,Leeds 111B,,
1,Family Activity,1,1,0,1,1,1,1,0,0,2.31,17.058,Tuesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,18.992,21.632,23.252,18.992,20.402,16.68,49.9,98.78333333,58.86666667,49.9,70.36666667,214.8166667,72.48333333,18.2,16.0,21.85,1,1.0,1.0,6,2.071232877,8.130956963,E01033008,Leeds 111A,,
1,Primary Workplace,1,1,0,1,1,1,1,0,0,2.992,17.451,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,23.163,19.736,22.683,23.163,21.376,17.577,33.95,87.0,42.0,33.95,67.58333333,220.6333333,65.75,4.983333333,21.0,16.98333333,3,1.0,1.0,6,1.035616438,4.065478481,,,E01033008,Leeds 111A
1,Primary Workplace,1,1,0,0,1,0,0,0,1,0.475,3.782,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.968,0.675,0.675,0.968,0.725,0.675,5.883333333,0.0,0.0,5.883333333,4.083333333,8.7,0.0,0.0,0.0,0.0,6,0.0,0.0,6,0.0,0.0,E01033010,Leeds 111B,,
1,Home,1,1,0,0,1,1,1,0,0,2.626,16.959,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.436,24.707,23.34,22.436,21.19,17.402,32.6,87.81666667,59.66666667,32.6,73.41666667,223.7333333,48.38333333,26.86666667,16.0,22.65,3,1.0,1.0,6,1.035616438,4.065478481,E01033008,Leeds 111A,,
1,Primary Workplace,1,1,0,0,1,1,1,0,0,10.375,17.035,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.711,21.282,23.11,19.711,21.635,17.378,46.26666667,96.53333333,54.51666667,46.26666667,68.66666667,218.8833333,84.25,5.5,18.0,22.5,3,1.0,1.0,6,1.035616438,4.065478481,,,E01033008,Leeds 111A
1,Home,1,1,0,0,1,1,1,0,0,2.624,16.991,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.431,23.422,23.364,22.431,21.201,17.437,32.93333333,92.11666667,48.08333333,32.93333333,73.43333333,224.1,80.0,6.033333333,17.0,23.06666667,3,1.0,1.0,6,1.035616438,4.065478481,E01033008,Leeds 111A,,
1,Primary Workplace,1,1,0,1,1,1,1,0,0,10.657,17.671,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.776,23.257,23.355,22.776,21.656,17.361,37.93333333,75.75,64.61666667,37.93333333,68.78333333,218.6833333,54.16666667,16.28333333,19.0,22.61666667,3,1.0,1.0,6,1.035616438,4.065478481,,,E01033010,Leeds 111B
1,Home,1,1,0,0,1,1,1,0,0,2.392,17.274,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.799,22.088,23.359,19.799,21.209,17.424,48.18333333,94.36666667,47.86666667,48.18333333,73.43333333,223.95,81.18333333,5.2,17.0,22.85,3,1.0,1.0,6,1.035616438,4.065478481,E01033010,Leeds 111B,,
1,Restaurant,1,1,0,1,1,1,1,1,0,1.69,12.228,Saturday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,14.365,17.93,17.399,14.365,17.053,13.071,24.73333333,57.11666667,72.01666667,24.73333333,55.45,162.4166667,40.53333333,10.73333333,12.0,36.01666667,1,1.0,1.0,6,2.071232877,8.130956963,,,E01011488,Leeds 045C
1,OtherPurpose,1,1,0,1,1,1,0,1,1,0.333,4.664,Sunday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.542,2.978,2.529,2.542,2.541,2.529,7.016666667,23.91666667,0.0,7.016666667,11.95,32.21666667,3.7,20.08333333,0.0,0.0,1,0.0,0.0,6,2.071232877,0.0,,,,
